lat,lon,alt,dop,speed
66.215285,18.575645,425.853,3.93,0.181
66.215314,18.575769,439.371,3.19,0.026
66.21383,18.574268,443.518,2.62,0.343
66.214382,18.57371,431.336,2.28,0.035
66.214849,18.574962,436.806,10.39,0.158
66.214724,18.575045,442.445,4.4,0.141
66.213981,18.574168,445.506,2.9,0.021
66.214606,18.573135,418.138,2.88,0.114
66.214212,18.574455,434.788,4.81,0.788
66.214191,18.573583,448.172,3.39,0.064
66.214236,18.573897,453.542,24.59,0.11
66.214155,18.573445,466.569,5.84,0.269
66.214084,18.573346,432.742,8.12,0.019
66.214159,18.573478,473.289,9.23,0.02
66.214222,18.573987,460.606,4.15,0.416
66.214079,18.573335,438.904,1.66,0.007
66.214185,18.573428,437.956,3.77,0.143
66.214098,18.573302,438.841,4.07,2.05
66.214085,18.573259,423.918,3.7,0.863
66.214204,18.573353,433.278,4.18,0.075
66.21459,18.57373,414.024,4.22,0.018
66.214606,18.573809,440.227,3.7,0.032
66.21466,18.573709,423.578,4.83,0.229
66.214546,18.573678,439.861,4.4,0.004
66.214558,18.573851,389.662,6.33,0.176
66.214561,18.573936,430.437,4.83,0.02
66.214375,18.573439,430.433,1.73,0.99
66.214095,18.573553,437.503,5.0,0.034
66.213516,18.573305,481.021,5.29,0.023
66.21381,18.573968,439.401,2.47,0.016
66.214047,18.574035,453.55,4.99,0.871
66.213775,18.573982,442.057,5.75,0.359
66.213844,18.573924,439.356,3.34,0.405
66.213798,18.5739,428.353,3.62,0.004
66.213823,18.573919,419.231,2.74,1.805
66.213956,18.57387,423.295,9.52,0.085
66.213966,18.573861,435.113,8.53,0.707
66.213844,18.573981,437.948,2.68,0.013
66.213847,18.574071,458.998,4.08,1.603
66.213859,18.574131,368.902,2.31,0.032
66.214132,18.574196,459.614,3.75,0.025
66.214737,18.574545,478.786,3.84,0.029
66.214583,18.574701,425.338,3.89,0.08
66.214265,18.575224,441.697,2.86,0.053
66.214369,18.575258,437.17,2.39,0.023
66.214234,18.575203,435.654,3.02,0.008
66.214334,18.575136,471.769,3.66,0.018
66.214312,18.574386,443.705,2.88,1.753
66.214517,18.575931,433.049,2.48,0.581
66.214525,18.576144,439.794,2.21,0.061
66.214165,18.575737,441.514,2.39,0.11
66.214354,18.575779,445.733,6.7,0.052
66.21448,18.575582,450.405,4.52,0.019
66.21426,18.575419,429.861,6.39,0.246
66.214293,18.575842,407.697,5.89,0.756
66.214328,18.575702,440.997,5.58,1.353
